userName,content,score,Year,Month,Day
Grace Maria Alua,"Aplikasi yang bagus, karena menyediakan berbagai layanan",5,2024,10,5
Agun Purwanto,Iklan yang sangat mengganggu,1,2024,10,5
Muktar Ryan,Terlalu banyak iklan gak berguna,1,2024,10,5
Asep Sunandar,Aplikasi bagus sangat membantu,5,2024,10,5
Yosi Muhamad R,"Terimakasih buat aplikasi ini yg sangat berguna dan sangat membantu mengolah data PDF yg tidak memungkinkan untuk menggunakan PC atau laptop, hanya lewat handphone sudah bisa memanfaatkan fitur di aplikasinya . Top",5,2024,10,4
Abdillah Nurdin,"Kebanyakan iklan dan sangat menggangu,",1,2024,10,4
Boenk Boenk,Sangat membantu trimakasih,5,2024,10,4
noor imansyah,mantap sekali sangat membantu saya,5,2024,10,3
Imran Sholihin,Keren dengan fiturnya,5,2024,10,3
Fauzan Abdan,Ga pernah berlangganan masa narik uang kan ga masuk akal,1,2024,10,3
De Tris,"Mudah, cepat, hasilnya bagus",5,2024,10,3
Budi Eka,"Lumayan bagus, ringkas",5,2024,10,3
M.CHOIRUL ANAM,"Silakan ada iklan toh ini gratis, tapi ya gak buat ngeselin juga iklannya",1,2024,10,3
DJOKO SATRIO MUDHO,sangat mudah dan membantu. thx,5,2024,10,3
Lizt Zahratusyifa,"Banyak iklan, pemakaian lama kena bayar, jadi terpksa downlod baru lagi",4,2024,10,3
Chaendra w.p,Mempermudah pekerjaan,5,2024,10,2
Dani Hamdani,Mudah dan tanpa beban,5,2024,10,2
Anisa Tazkia,"KEBANYAKAN IKLAN, NGESELIN lengah dikit muncul iklan, ga kira"" klo ngasih iklan",1,2024,10,2
Irwan Basryi,Sangat sederhana penggunaannya.. dan hasil memuaskan.. sempurna,5,2024,10,2
Afzhalahtallah Ahtallah,Kwalitas bagus sangat memuaskan...sempurna,5,2024,10,2
gaby ngga,Bagus sekali menggunakan applikasi ini. Terima kasih.,5,2024,10,2
RuangEkpresi Ivan,sipp membantu bgt ketika tak da scanner fisik,5,2024,10,1
Asmadi,Mantab dan sangat membantu,5,2024,10,1
Irfan Azhar,Sangat bagus CS bisa membantu untuk scan,5,2024,10,1
satria hutagalung,Terlalu banyak iklas yg tidak penting,1,2024,10,1
Allen Waplau,Trm Ksh Anda telah Membantu Kami dgn Aplikasi yg membuat segalanya menjadi Mudah dan Bermanfaat bagi Banyak Orang. Sekali lagi Trm Ksh atas Kebaikan Anda. 🙏🙏🙏🙏🙏🙏🙏,5,2024,10,1
top_ix,Terbantu dalam pekerjaan,5,2024,10,1
Aldi dwi Bahari,Buat dokumen jadi lebih cepat,5,2024,9,30
Siti Masruroh,"Msih bnyak banget iklan nya yg hrs ditungguin, gbisa bwt urgent parahh",1,2024,9,30
Labib Muhni,Mantappp..sangat membantu dalam pekerjaan👍👍👍,5,2024,9,30
Romeo Juliet,Top aplikasi nya,5,2024,9,30
Mbak Fiy,Mempermudah pekerjaan saya ❤,5,2024,9,29
Dewi Dewi,Aplikasinya bagus banget,5,2024,9,29
Mumus Farisi,"Bagus sih tapi nama scannernya ga hilang, seharusnnya file nya seperti yg asli tanpa tertulis camscenner,",1,2024,9,29
Serlindawati Elisabet,Sangat membantu sekali gratis,5,2024,9,29
Abyan Abqory,Sangat cocok untuk penyalinan data,5,2024,9,28
Muammar Davie Lee,Mantap ....Gak Pake lama Sat Set...langsung Jadi...Thanks,5,2024,9,28
Annisa Rizki Awwalia,Aplikasi sangat membantu sekali,5,2024,9,27
Agung Ramadan,"sangat membantu, terimakasih",5,2024,9,27
Irwan Bmg,Pekerjaan lebih Mudah,5,2024,9,27
ulis.s anah,aplikasinya sangat sangat membantu & mempermudah,5,2024,9,27
Fedy Billion,Yakin dah ....app yang mantap 👍,5,2024,9,27
Daffa Putra,najis kebanyakan iklan,1,2024,9,27
Febby Priyanto,"sangat,membantu dan mudah👍",5,2024,9,27
Frits Tampake,"Aplikasinya awalnya bagus, tapi update terakhir semua data file di HP masuk aplikasi Camscanner, jadinya kesulitan mencari file yg pernah di scan pakai aplikasi ini.. 🤦‍♂️",5,2024,9,27
Arie Achsan,bisa banyak halaman dan jelas hasilnya,5,2024,9,26
yusup sopian,"Bagus, cepat, mudah",5,2024,9,26
i60 - Abi Haqi,OK bagus dan mantap,5,2024,9,26
Herlinawati,Sangat membantu pekerjaan . 🎉,5,2024,9,26
Mas wadi,Mantap dan mudah,5,2024,9,25
MEGI APRILIO,Apk bagus untuk saat ini saya coba,5,2024,9,25
Wahyu Teddy,Banyak iklan dong udah di scan file nya mau dikirim malah ilang,1,2024,9,25
Aliman Nugraha,Aplikasi CamScanner sangat membantu makasih,5,2024,9,25
M AZMI SOFYAN,sejauh ini bagus. yang perbayar berguna sekali. cuma untuk compressed pdf tolong ditingkatkan lagi. kadang muncul kadang tidak bisa di kompres pdf. akhirnya mesti di kompres pakai yang lain,5,2024,9,25
Muhammad Afif,"gajelas bangt nih apk tiba tiba ambil saldo di dana saya sebesar Rp. 156.389.00, lu ambil tapi gada konfirmasi dari saya berarti lu nyuri. balikin saldo saya plis",1,2024,9,25
Korib,Sangat membantu pekerjaan,4,2024,9,25
Sella Abel,Keren mudah pengoperasiannya,5,2024,9,24
Ren,"Mau kantoran, pelajar, mahasiswa semua terbantu dengan apk ini, mantap pokoknya.. Rate 5 karena sudah bertahun-tahun memakai",5,2024,9,24
Oviq,"Baiknya jangan pakai berbayar saja, karena di update, pengembang juga dapat untung selain dari iklan... 🙏",5,2024,9,24
Cumaya,Cepat dalam prosesing,4,2024,9,24
Gede Junimerta,"Memberikan hasil terbaik, tajam, dan bagus dlm scanner",5,2024,9,24
wahyu utomo,Tiap habis scan gk bisa langsung tersimpan. Selalu kembali ke tampilan awal (home) terus,1,2024,9,24
Sok Tahu,"Kenapa gak bisa dibuka ya,dibuka layarnya hitam terus",1,2024,9,24
BunG Ris YoPi,Membuat semua dokumen kita lebih rapi,5,2024,9,23
Arka Arka,"Awal² install bagus. Meski ada iklan tapi masih wajar kalo tiap scan ada 1 iklan. Tapi makin lama sangat menjengkelkan, apalagi saat kita buru² kerjaan. Sekali scan bisa langsung 4 iklan. Parahnya lagi setelah aplikasi ditutup pun banyak iklan pinjol yang tidak bisa diskip. Benar² sangat mengganggu. Kadang tau² terinstall tanpa kita klik. Entah itu kesalahan dari Camscannernya atau iklan² pinjolnya.",2,2024,9,23
Ahdi nuy,kebanyakan iklan,1,2024,9,23
Alif Lam,The best deh pokoknya mah,5,2024,9,23
Yuswan Nur Rahman hartono,"Apk yang sangat membantu, hasil scanan sgt bagus, fitur mudah di pahami",5,2024,9,23
HABIB AL-MATIUS,"Iklan mulu, ngribetin",1,2024,9,23
doel manan,"Bagus sangat membabtu dalam bekerja, terima kasih, iklannya dikurangin ya",5,2024,9,22
Yopi Patnul rahim,Terimakasih sudah membantu edit data,5,2024,9,22
Ismi Murdiyati,"Aplikasinya sangat berguna, mempermudah scan gambar, dan scan tulisan ke word...",5,2024,9,21
Swanny Chan,"Sy pakai yg berbayar 150 untuk 1th, untuk hapus tulisan tangan. Tapi hari ini hapus cerdas tulisan tangannya kok tiba2 hilang ya? Mohon bantuannya.",5,2024,9,21
Raf Hanah,Sangat membantu dalam menyelesaikan tugas-tugas yang butuh scanner untuk di upload ke LPTK atau instansi terkait.,4,2024,9,21
Nor Roni,Banyak iklan jembut.,1,2024,9,20
Bastommy Official,Paling mantap diantara yang lain,5,2024,9,20
dicky ramadhan,aplikasi keren memudahkan dalam pekerjaan,5,2024,9,20
Seto Ibnu Pratomo,Iklan bejibun,1,2024,9,20
Dayan Rifqy Nujaba,"Iklannya ga kira-kira kalo mau ngasih, ganggu banget kalo mau scan banyak file dan buang-buang waktu. Padahal sudah premium (trial) tapi tetep muncul iklan, kalo kasusnya begini saya mending yang biasa aja daripada premium tapi tetep muncul iklan",2,2024,9,19
Andrian Tjandra,Keren ... sangat membantu. Jempol 3 deh,5,2024,9,19
Bahar Bahar,Gambar menjadi lebih jernih,5,2024,9,19
Rahana Pratiwi,Cukup membantu sekali... Sukses selalu CamScanner semoga menjadi amal jariyah,5,2024,9,19
Sri winarsih,"Bagus bngt, bahasa Indonesia, juga",5,2024,9,19
Ruslan Efendi,Sangat membantu sekali,5,2024,9,19
AMRI Hidayat,Mantap dan mudah saat di perlukan,5,2024,9,19
Uus suparman,Alhamdulillah sangat membantu dalam pekerjaan saya... terimakasih kepada team mantul 👍🙏 (Rekomendasi pokok nya).,5,2024,9,19
Muhammad Haikal,"Mau bikin file kartu id seperti ktp saja harus membeli premium,bagi saya sebagai orang yang jarang menggunakan camscanner ini merugikan sekali karena menyusahkan saya.kenapa tidak diganti dengan menonton iklan atau sebagainya?sebelumnya tidak seperti ini harus membeli premium.saya kecewa dengan perubahan seperti ini,mungkin harus ganti aplikasi...",1,2024,9,19
uuts sulistyowati,"Saran, agar tidak banyak iklan",5,2024,9,19
Ally Buhana,Aplikasi yang sangat membantu sekali.....,5,2024,9,19
apik mcr,Aplikasi yang bagus dan lengkap,5,2024,9,19
Febriana S. Tinamba,"Iklan terlalu banyak. sekali muncul bisa 2 iklan. susah utk ditutup walaupun iklan sdh selesai. jika ingin ditutup, malah migrasi ke aplikasi iklan. menghambat. So bad",1,2024,9,19
Yoga & yogi,Enak cuma sekarang banyak iklan makasih CamScanner,5,2024,9,18
Tati Kusmiati,Membantu sekali bisa diandalkan,5,2024,9,17
Hubert John “Abuwoedii” Takimai,"Tetap bagus, keren, fiturnya lengkap, jernih cpiannya.",5,2024,9,17
Muhamad rizki,"Sangat mudah di gunakan dan sangat membantu, recommend banget👍",5,2024,9,17
daud fajar muttaqin,"ga suka suara cekrek pas ngambil gambar. Bisa di ilangin ga, aku ngecek belum ketemu sebelah mana",2,2024,9,17
Philip Manuputty,"Layanan Camscanner 1. makin hari makin jelek, ada file sendiri ketika di kirim lalu kita download di buka ko minta password, padahal file murni tanpa password, 2. Kenapa sekarang sudah tidak bisa di kompres file 3. Saya pakai CamScanner berbayar bukan gratis, tapi makin susah di kelola CMS. 4. Tolong di perhatikan setiap masukan untuk perbaiki layanan kepada pengguna.",4,2024,9,17
